,ME1_FO_FLOW_HOUR_INLET,ME1_RPM,ME1_SCAV_AIR_PRESS,ME1_CYL1_PCO_OUTLET_TEMP,ME1_CYL2_PCO_OUTLET_TEMP,ME1_CYL3_PCO_OUTLET_TEMP,ME1_CYL4_PCO_OUTLET_TEMP,ME1_CYL5_PCO_OUTLET_TEMP,ME1_JCW_INLET_TEMP,ME1_JCW_INLET_PRESS,ME1_CYL1_CFW_OUTLET_TEMP,ME1_CYL2_CFW_OUTLET_TEMP,ME1_CYL3_CFW_OUTLET_TEMP,ME1_CYL4_CFW_OUTLET_TEMP,ME1_CYL5_CFW_OUTLET_TEMP,ME1_CYL1_EXH_GAS_OUTLET_TEMP,ME1_CYL2_EXH_GAS_OUTLET_TEMP,ME1_CYL3_EXH_GAS_OUTLET_TEMP,ME1_CYL4_EXH_GAS_OUTLET_TEMP,ME1_CYL5_EXH_GAS_OUTLET_TEMP,ME1_TC1_EXH_INLET_TEMP,ME1_TC1_EXH_OUTLET_TEMP,ME1_TC1_LO_INLET_PRESS,ME1_TC1_LO_OUTLET_TEMP,ME1_LO_INLET_PRESS,ME1_LO_INLET_TEMP
4802,1178.1580000000001,75.6955,1.4765333330000001,55.16,55.44833333,56.19833333,55.2,56.09666667,70.3,3.6946,78.77166667,79.18666667,78.48666667,79.05833333,78.06833333,371.6383333,374.475,370.91,351.91333330000003,364.0783333,388.1416667,282.205,2.000833333,65.15333333,2.316066667,50.56833333
4803,1183.150167,75.8635,1.481433333,55.075,55.45166667,56.20333333,55.2,56.195,70.29666667,3.681533333,78.77833333,79.13666667,78.44833333,79.07,78.08,367.46,373.395,372.1616667,351.6333333,365.4866667,389.0283333,282.28833330000003,2.010633333,65.18166667,2.3226,50.64333333
4804,1175.190333,75.86066667,1.4716333330000002,54.99666667,55.48333333,56.2,55.2,56.19833333,70.3,3.686433333,78.7,79.195,78.43333333,79.075,78.09,368.5016667,374.2383333,371.9816667,351.5966667,365.6283333,388.5733333,282.6116667,2.009,65.17333333,2.3275,50.67166667
4805,1174.119,75.76316667,1.47,54.99166667,55.5,56.2,55.20166667,56.2,70.30333333,3.6946,78.7,79.21333333,78.5,79.17166667,78.19666667,368.5616667,374.5,371.53,350.8566667,365.6733333,388.8266667,282.3916667,2.022066667,65.195,2.3177,50.67
4806,1171.4360000000001,75.83616667,1.47,54.93833333,55.43333333,56.2,55.2,56.19666667,70.3,3.683166667,78.65166667,79.2,78.45666667,79.08166667,78.115,366.9766667,374.96166669999997,369.91833330000003,350.54333330000003,365.345,388.6766667,282.475,2.020433333,65.165,2.324233333,50.65
4807,1170.822881,75.79135593,1.47,54.87966102,55.43389831,56.2,55.2,56.13898305,70.3,3.695762712,78.58474576,79.2,78.40338983,79.02542373,78.05254237,368.12881360000006,374.20677969999997,368.6338983,352.18135589999997,364.4677966,388.4576271,282.7220339,2.016474576,65.05084746,2.3187796609999998,50.60677966
4808,1182.798667,75.84616667,1.4732666669999999,55.14333333,55.475,56.20166667,55.2,56.17833333,70.30166667,3.681533333,78.78,79.23,78.475,79.09166667,78.16,374.6116667,373.7266667,368.1766667,350.9433333,364.4366667,388.56,282.45666669999997,2.012266667,65.12333333,2.3111666669999997,50.62
4809,1176.659667,75.789,1.47,55.17333333,55.5,56.25833333,55.27333333,56.2,70.3,3.683166667,78.90666667,79.26166667,78.50333333,79.19,78.2,370.83166669999997,373.76,370.2,348.2916667,366.77166669999997,389.06,282.4833333,2.000833333,65.2,2.3193333330000003,50.69666667
4810,1172.860833,75.79316667,1.4716333330000002,55.11333333,55.49,56.25,55.26833333,56.20166667,70.29833333,3.6897,78.775,79.20333333,78.50166667,79.13,78.18666667,370.6766667,373.3566667,371.785,348.3716667,365.4266667,388.1833333,282.41833330000003,2.010633333,65.18166667,2.320966667,50.695
4811,1166.956167,75.83016667,1.47,55.155,55.47166667,56.27333333,55.285,56.2,70.3,3.683166667,78.88666667,79.2,78.49666667,79.15666667,78.19166667,369.7666667,372.865,371.3833333,348.9266667,366.59166669999996,388.4216667,282.5016667,2.012266667,65.17,2.3177,50.69833333
4812,1166.193,75.7665,1.47,55.0,55.5,56.215,55.22333333,56.195,70.295,3.6766333330000003,78.70333333,79.2,78.46333333,79.03166667,78.045,370.0,374.24,369.9883333,348.245,366.2333333,387.485,282.7433333,2.015533333,65.05666667,2.3258666669999997,50.65333333
4813,1174.7535,75.80466667,1.4765333330000001,54.995,55.49666667,56.20833333,55.22,56.19166667,70.3,3.6799,78.7,79.25666667,78.5,79.12333333,78.115,369.6383333,373.9516667,369.1983333,349.0833333,367.21666669999996,388.805,282.22333330000004,2.007366667,65.14,2.3193333330000003,50.66666667
4814,1168.338333,75.76233333,1.4716333330000002,54.96833333,55.43,56.205,55.20166667,56.19333333,70.28833333,3.683166667,78.66333333,79.21166667,78.40166667,79.06333333,78.04333333,366.95,373.6616667,370.35333330000003,347.8033333,366.8766667,388.7683333,282.40166669999996,2.0139,65.06,2.3193333330000003,50.64666667
4815,1167.281,75.73083333,1.47,54.92333333,55.295,56.2,55.2,56.19666667,70.295,3.6880666669999997,78.66,79.025,78.37333333,79.04333333,78.02833333,368.4716667,372.8083333,370.85333330000003,347.055,365.88,388.36,282.115,2.020433333,65.06833333,2.335666667,50.60166667
4816,1175.654833,75.87216667,1.47,54.91333333,55.42833333,56.2,55.2,56.165,70.3,3.6766333330000003,78.68833333,79.18333333,78.475,79.13,78.085,369.6433333,373.41,371.2083333,347.71,365.8816667,388.2033333,282.1266667,2.0139,65.04166667,2.330766667,50.575
4817,1181.436167,75.81216667,1.4732666669999999,54.98833333,55.49833333,56.20166667,55.20833333,56.19333333,70.29833333,3.681533333,78.7,79.28666667,78.5,79.18,78.17333333,370.7783333,374.6166667,371.0683333,348.2183333,365.2366667,387.59833330000004,281.6316667,2.009,65.175,2.3177,50.63833333
